edge_type_id target_query source_query dynamics_params delay model_template
6669 node_type_id=='473601979' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6670 node_type_id=='476048909' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6672 node_type_id=='476131588' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6674 node_type_id=='480116737' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6675 node_type_id=='480169178' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6676 node_type_id=='480351780' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6677 node_type_id=='480353286' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6678 node_type_id=='466632464' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6679 node_type_id=='471410185' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6680 node_type_id=='471786879' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6681 node_type_id=='471789504' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6682 node_type_id=='471819401' location=='LGN' AMPA_ExcToExc.json 1.7 exp2syn
6739 node_type_id=='475585413' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
6740 node_type_id=='478107198' location=='LGN' AMPA_ExcToInh.json 1.7 exp2syn
