edge_type_id target_query source_query dynamics_params delay model_template
226 node_type_id=='471767045' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
227 node_type_id=='471767045' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
228 node_type_id=='485574832' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
229 node_type_id=='485574832' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
230 node_type_id=='485835055' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
231 node_type_id=='485835055' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
232 node_type_id=='485880739' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
233 node_type_id=='485880739' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
234 node_type_id=='486052980' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
235 node_type_id=='486052980' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
236 node_type_id=='486110216' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
237 node_type_id=='487664663' pop_name=='e4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
238 node_type_id=='487664663' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json 1.5 exp2syn
239 node_type_id=='471129934' pop_name=='i4Sst' GABA_InhToExc.json 1.5 exp2syn
240 node_type_id=='471758398' pop_name=='i4Sst' GABA_InhToExc.json 1.5 exp2syn
241 node_type_id=='471767045' pop_name=='i4Sst' GABA_InhToExc.json 1.5 exp2syn
242 node_type_id=='485574832' pop_name=='i4Sst' GABA_InhToExc.json 1.5 exp2syn
243 node_type_id=='485835055' pop_name=='i4Sst' GABA_InhToExc.json 1.5 exp2syn
244 node_type_id=='485880739' pop_name=='i4Sst' GABA_InhToExc.json 1.5 exp2syn
245 node_type_id=='486052980' pop_name=='i4Sst' GABA_InhToExc.json 1.5 exp2syn
246 node_type_id=='486110216' pop_name=='i4Sst' GABA_InhToExc.json 1.5 exp2syn
247 node_type_id=='487664663' pop_name=='i4Sst' GABA_InhToExc.json 1.5 exp2syn
248 node_type_id=='471129934' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
249 node_type_id=='471143169' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
250 node_type_id=='471758398' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
251 node_type_id=='471767045' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
252 node_type_id=='485574832' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
253 node_type_id=='485835055' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
254 node_type_id=='485880739' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
255 node_type_id=='486052980' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
256 node_type_id=='486110216' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
257 node_type_id=='487664663' pop_name=='e4Nr5a1' AMPA_ExcToExc.json 1.5 exp2syn
258 node_type_id=='471129934' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
259 node_type_id=='471143169' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
260 node_type_id=='471758398' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
261 node_type_id=='471767045' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
262 node_type_id=='485574832' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
263 node_type_id=='485835055' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
264 node_type_id=='485880739' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
265 node_type_id=='486052980' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
266 node_type_id=='486110216' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
267 node_type_id=='487664663' pop_name=='e5noRbp4' AMPA_ExcToExc.json 1.5 exp2syn
268 node_type_id=='471129934' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
269 node_type_id=='471143169' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
270 node_type_id=='471758398' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
271 node_type_id=='471767045' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
272 node_type_id=='485574832' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
273 node_type_id=='485835055' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
274 node_type_id=='485880739' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
275 node_type_id=='486052980' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
276 node_type_id=='486110216' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
277 node_type_id=='487664663' pop_name=='e6Ntsr1' AMPA_ExcToExc.json 3.5 exp2syn
278 node_type_id=='471129934' pop_name=='i6Htr3a' GABA_InhToExc.json 1.5 exp2syn
279 node_type_id=='471143169' pop_name=='i6Htr3a' GABA_InhToExc.json 1.5 exp2syn
280 node_type_id=='471758398' pop_name=='i6Htr3a' GABA_InhToExc.json 1.5 exp2syn
281 node_type_id=='471767045' pop_name=='i6Htr3a' GABA_InhToExc.json 1.5 exp2syn
282 node_type_id=='485574832' pop_name=='i6Htr3a' GABA_InhToExc.json 1.5 exp2syn
283 node_type_id=='485835055' pop_name=='i6Htr3a' GABA_InhToExc.json 1.5 exp2syn
284 node_type_id=='485880739' pop_name=='i6Htr3a' GABA_InhToExc.json 1.5 exp2syn
285 node_type_id=='486052980' pop_name=='i6Htr3a' GABA_InhToExc.json 1.5 exp2syn
286 node_type_id=='486110216' pop_name=='i6Htr3a' GABA_InhToExc.json 1.5 exp2syn
