node_type_id ei dynamics_params model_template model_processing morphology location population pop_name model_type
349621141 e 349621141_fit.json ctdb:Biophys1.hoc aibs_axon Scnn1a-Tg2-Cre_Ai14-176961.06.02.01_491253847_m.swc VisL5 v1 e5noRbp4 biophysical
354190013 e 354190013_fit.json ctdb:Biophys1.hoc aibs_axon Scnn1a-Tg2-Cre_Ai14-176962.05.01.01_495335447_m.swc VisL5 v1 e5noRbp4 biophysical
468120757 e 468120757_fit.json ctdb:Biophys1.hoc aibs_axon Scnn1a-Tg3-Cre_Ai14-177297.05.02.01_495335458_m.swc VisL5 v1 e5noRbp4 biophysical
468193142 e 468193142_fit.json ctdb:Biophys1.hoc aibs_axon Scnn1a-Tg3-Cre_Ai14-177297.06.01.01_491120155_m.swc VisL5 v1 e5noRbp4 biophysical
469793303 e 469793303_fit.json ctdb:Biophys1.hoc aibs_axon Scnn1a-Tg3-Cre_Ai14-180214.05.02.01_492413246_m.swc VisL5 v1 e5noRbp4 biophysical
473601979 e 473601979_fit.json ctdb:Biophys1.hoc aibs_axon Rorb-IRES2-Cre-D_Ai14-181715.04.01.01_491392833_m.swc VisL5 v1 e5noRbp4 biophysical
476048909 e 476048909_fit.json ctdb:Biophys1.hoc aibs_axon Rorb-IRES2-Cre-D_Ai14-187416.05.01.01_491796267_m.swc VisL5 v1 e5noRbp4 biophysical
476131588 e 476131588_fit.json ctdb:Biophys1.hoc aibs_axon Scnn1a-Tg3-Cre_Ai14-187849.06.02.01_491392799_m.swc VisL5 v1 e5noRbp4 biophysical
480116737 e 480116737_fit.json ctdb:Biophys1.hoc aibs_axon Rorb-IRES2-Cre-D_Ai14-197332.04.02.01_492100936_m.swc VisL5 v1 e5noRbp4 biophysical
480169178 e 480169178_fit.json ctdb:Biophys1.hoc aibs_axon Rorb-IRES2-Cre-D_Ai14-197353.06.02.01_496079587_m.swc VisL5 v1 e5noRbp4 biophysical
480351780 e 480351780_fit.json ctdb:Biophys1.hoc aibs_axon Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc VisL5 v1 e5noRbp4 biophysical
480353286 e 480353286_fit.json ctdb:Biophys1.hoc aibs_axon Rorb-IRES2-Cre-D_Ai14-197851.05.02.01_492413372_m.swc VisL5 v1 e5noRbp4 biophysical
478110866 i 478110866_fit.json ctdb:Biophys1.hoc aibs_axon Htr3a-Cre_NO152_Ai14-192821.05.01.01_491771409_m.swc VisL5 v1 i5Htr3a biophysical
481001895 i 481001895_fit.json ctdb:Biophys1.hoc aibs_axon Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc VisL5 v1 i5Htr3a biophysical
481136138 i 481136138_fit.json ctdb:Biophys1.hoc aibs_axon Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc VisL5 v1 i5Htr3a biophysical
482644550 i 482644550_fit.json ctdb:Biophys1.hoc aibs_axon Htr3a-Cre_NO152_Ai14-200442.05.02.01_495337161_m.swc VisL5 v1 i5Htr3a biophysical
313861608 i 313861608_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-165874.04.02.01_491119570_m.swc VisL5 v1 i5Pvalb biophysical
321023397 i 321023397_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-171555.06.01.01_496722847_m.swc VisL5 v1 i5Pvalb biophysical
333785962 i 333785962_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-176852.05.02.01_513557613_m.swc VisL5 v1 i5Pvalb biophysical
396608557 i 396608557_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-177452.03.02.01_491119336_m.swc VisL5 v1 i5Pvalb biophysical
469610831 i 469610831_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-177452.03.01.01_491120251_m.swc VisL5 v1 i5Pvalb biophysical
471077857 i 471077857_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-180633.05.01.01_491119234_m.swc VisL5 v1 i5Pvalb biophysical
471085676 i 471085676_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-180633.04.01.01_491771159_m.swc VisL5 v1 i5Pvalb biophysical
478793814 i 478793814_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-195045.05.02.01_491119688_m.swc VisL5 v1 i5Pvalb biophysical
486783119 i 486783119_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc VisL5 v1 i5Pvalb biophysical
323475862 i 323475862_fit.json ctdb:Biophys1.hoc aibs_axon Sst-IRES-Cre_Ai14-172534.06.01.01_491770330_m.swc VisL5 v1 i5Sst biophysical
464198958 i 464198958_fit.json ctdb:Biophys1.hoc aibs_axon Sst-IRES-Cre_Ai14-165865.03.01.01_491119181_m.swc VisL5 v1 i5Sst biophysical
475517090 i 475517090_fit.json ctdb:Biophys1.hoc aibs_axon Sst-IRES-Cre_Ai14-184927.03.02.01_492100832_m.swc VisL5 v1 i5Sst biophysical
