,time,gid,lid,kind,population,type
240,231.9268222430774,0,0,0,v1,478107198
241,232.0,15,0,2,bkg,100
242,233.5,15,0,2,bkg,100
243,233.75,15,0,2,bkg,100
244,234.25,15,0,2,bkg,100
245,235.0,15,0,2,bkg,100
246,236.0,15,0,2,bkg,100
247,236.5,15,0,2,bkg,100
248,236.75,15,0,2,bkg,100
249,237.0,15,0,2,bkg,100
250,237.25,15,0,2,bkg,100
251,237.5,15,0,2,bkg,100
252,237.75,15,0,2,bkg,100
253,238.5,15,0,2,bkg,100
254,239.75,15,0,2,bkg,100
255,239.80099100775047,1,0,0,v1,475622793
256,240.0,15,0,2,bkg,100
257,240.25,15,0,2,bkg,100
258,240.5,15,0,2,bkg,100
259,240.75,15,0,2,bkg,100
260,241.0,15,0,2,bkg,100
261,241.5,15,0,2,bkg,100
262,242.25,15,0,2,bkg,100
263,242.75,15,0,2,bkg,100
264,242.9183566228942,0,0,0,v1,478107198
265,247.0,15,0,2,bkg,100
266,247.75,15,0,2,bkg,100
267,248.0,15,0,2,bkg,100
268,249.25,15,0,2,bkg,100
269,250.0,15,0,2,bkg,100
270,250.25,15,0,2,bkg,100
271,253.25,15,0,2,bkg,100
272,255.0,15,0,2,bkg,100
273,255.75,15,0,2,bkg,100
274,257.25,15,0,2,bkg,100
275,258.0,15,0,2,bkg,100
276,261.25,15,0,2,bkg,100
277,262.0,15,0,2,bkg,100
278,262.5,15,0,2,bkg,100
279,263.75,15,0,2,bkg,100
280,265.5,15,0,2,bkg,100
281,265.75,15,0,2,bkg,100
282,267.5,15,0,2,bkg,100
283,269.0,15,0,2,bkg,100
284,270.5,15,0,2,bkg,100
285,271.25,15,0,2,bkg,100
286,271.75,15,0,2,bkg,100
287,272.0,15,0,2,bkg,100
288,272.5,15,0,2,bkg,100
289,273.0,15,0,2,bkg,100
290,273.5,15,0,2,bkg,100
291,274.25,15,0,2,bkg,100
292,274.5,15,0,2,bkg,100
293,275.25,15,0,2,bkg,100
294,275.75,15,0,2,bkg,100
295,277.25,15,0,2,bkg,100
296,280.25,15,0,2,bkg,100
297,280.5,15,0,2,bkg,100
298,281.25,15,0,2,bkg,100
299,283.0,15,0,2,bkg,100
300,283.25,15,0,2,bkg,100
301,284.25,15,0,2,bkg,100
302,285.0,15,0,2,bkg,100
303,286.75,15,0,2,bkg,100
304,287.25,15,0,2,bkg,100
305,287.5,15,0,2,bkg,100
306,287.75,15,0,2,bkg,100
307,288.0,15,0,2,bkg,100
308,290.0,15,0,2,bkg,100
309,292.5,15,0,2,bkg,100
310,293.5,15,0,2,bkg,100
311,294.25,15,0,2,bkg,100
312,294.5,15,0,2,bkg,100
313,294.75,15,0,2,bkg,100
314,296.25,15,0,2,bkg,100
315,296.75,15,0,2,bkg,100
316,298.75,15,0,2,bkg,100
317,299.75,15,0,2,bkg,100
318,302.75,15,0,2,bkg,100
319,303.5,15,0,2,bkg,100
320,303.75,15,0,2,bkg,100
321,304.0,15,0,2,bkg,100
322,305.75,15,0,2,bkg,100
323,306.0,15,0,2,bkg,100
324,306.5,15,0,2,bkg,100
325,306.75,15,0,2,bkg,100
326,307.5,15,0,2,bkg,100
327,308.0,15,0,2,bkg,100
328,308.25,15,0,2,bkg,100
329,308.5,15,0,2,bkg,100
330,309.0,15,0,2,bkg,100
331,309.75,15,0,2,bkg,100
332,309.771566686496,0,0,0,v1,478107198
333,310.25,15,0,2,bkg,100
334,310.72544011341944,1,0,0,v1,475622793
335,314.75,15,0,2,bkg,100
336,316.75,15,0,2,bkg,100
337,318.5,15,0,2,bkg,100
338,318.75,15,0,2,bkg,100
339,320.5,15,0,2,bkg,100
340,321.0,15,0,2,bkg,100
341,324.5,15,0,2,bkg,100
342,326.5,15,0,2,bkg,100
343,327.75,15,0,2,bkg,100
344,328.25,15,0,2,bkg,100
345,328.5,15,0,2,bkg,100
346,329.0,15,0,2,bkg,100
347,329.75,15,0,2,bkg,100
348,330.5,15,0,2,bkg,100
349,332.25,15,0,2,bkg,100
350,332.5,15,0,2,bkg,100
351,334.0,15,0,2,bkg,100
352,335.75,15,0,2,bkg,100
353,336.5,15,0,2,bkg,100
354,337.25,15,0,2,bkg,100
355,339.25,15,0,2,bkg,100
356,340.5,15,0,2,bkg,100
357,341.25,15,0,2,bkg,100
358,342.0,15,0,2,bkg,100
359,343.25,15,0,2,bkg,100
360,344.5,15,0,2,bkg,100
361,345.25,15,0,2,bkg,100
