edge_type_id target_query source_query model_template delay dynamics_params
260 node_type_id=='471758398' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
261 node_type_id=='471767045' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
262 node_type_id=='485574832' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
263 node_type_id=='485835055' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
264 node_type_id=='485880739' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
265 node_type_id=='486052980' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
266 node_type_id=='486110216' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
267 node_type_id=='487664663' pop_name=='e5noRbp4' exp2syn 1.5 AMPA_ExcToExc.json
268 node_type_id=='471129934' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
269 node_type_id=='471143169' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
270 node_type_id=='471758398' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
271 node_type_id=='471767045' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
272 node_type_id=='485574832' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
273 node_type_id=='485835055' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
274 node_type_id=='485880739' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
275 node_type_id=='486052980' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
276 node_type_id=='486110216' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
277 node_type_id=='487664663' pop_name=='e6Ntsr1' exp2syn 3.5 AMPA_ExcToExc.json
278 node_type_id=='471129934' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
279 node_type_id=='471143169' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
280 node_type_id=='471758398' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
281 node_type_id=='471767045' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
282 node_type_id=='485574832' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
283 node_type_id=='485835055' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
284 node_type_id=='485880739' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
285 node_type_id=='486052980' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
286 node_type_id=='486110216' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
287 node_type_id=='487664663' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
288 node_type_id=='471129934' pop_name=='e4Rorb' exp2syn 1.5 GABA_InhToExc.json
289 node_type_id=='471767045' pop_name=='e4Rorb' exp2syn 1.5 GABA_InhToExc.json
290 node_type_id=='485574832' pop_name=='e4Rorb' exp2syn 1.5 GABA_InhToExc.json
291 node_type_id=='485835055' pop_name=='e4Rorb' exp2syn 1.5 GABA_InhToExc.json
292 node_type_id=='485880739' pop_name=='e4Rorb' exp2syn 1.5 GABA_InhToExc.json
293 node_type_id=='486052980' pop_name=='e4Rorb' exp2syn 1.5 GABA_InhToExc.json
294 node_type_id=='486110216' pop_name=='e4Rorb' exp2syn 1.5 GABA_InhToExc.json
295 node_type_id=='487664663' pop_name=='e4Rorb' exp2syn 1.5 GABA_InhToExc.json
296 node_type_id=='471129934' pop_name=='i23Sst' exp2syn 1.5 GABA_InhToExc.json
297 node_type_id=='471758398' pop_name=='i23Sst' exp2syn 1.5 GABA_InhToExc.json
298 node_type_id=='471767045' pop_name=='i23Sst' exp2syn 1.5 GABA_InhToExc.json
299 node_type_id=='485574832' pop_name=='i23Sst' exp2syn 1.5 GABA_InhToExc.json
300 node_type_id=='485835055' pop_name=='i23Sst' exp2syn 1.5 GABA_InhToExc.json
301 node_type_id=='485880739' pop_name=='i23Sst' exp2syn 1.5 GABA_InhToExc.json
302 node_type_id=='486052980' pop_name=='i23Sst' exp2syn 1.5 GABA_InhToExc.json
303 node_type_id=='486110216' pop_name=='i23Sst' exp2syn 1.5 GABA_InhToExc.json
304 node_type_id=='487664663' pop_name=='i23Sst' exp2syn 1.5 GABA_InhToExc.json
305 node_type_id=='471129934' pop_name=='i5Htr3a' exp2syn 1.5 GABA_InhToExc.json
306 node_type_id=='471129934' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
307 node_type_id=='471758398' pop_name=='i5Htr3a' exp2syn 1.5 GABA_InhToExc.json
308 node_type_id=='471767045' pop_name=='i5Htr3a' exp2syn 1.5 GABA_InhToExc.json
309 node_type_id=='471767045' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
310 node_type_id=='485574832' pop_name=='i5Htr3a' exp2syn 1.5 GABA_InhToExc.json
311 node_type_id=='485574832' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
312 node_type_id=='485835055' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
313 node_type_id=='485835055' pop_name=='i5Htr3a' exp2syn 1.5 GABA_InhToExc.json
314 node_type_id=='485880739' pop_name=='i5Htr3a' exp2syn 1.5 GABA_InhToExc.json
315 node_type_id=='485880739' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
316 node_type_id=='486052980' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
317 node_type_id=='486052980' pop_name=='i5Htr3a' exp2syn 1.5 GABA_InhToExc.json
318 node_type_id=='486110216' pop_name=='i5Htr3a' exp2syn 1.5 GABA_InhToExc.json
319 node_type_id=='487664663' pop_name=='i5Htr3a' exp2syn 1.5 GABA_InhToExc.json
320 node_type_id=='487664663' pop_name=='i6Htr3a' exp2syn 1.5 GABA_InhToExc.json
321 node_type_id=='471129934' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
322 node_type_id=='471143169' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
323 node_type_id=='471758398' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
324 node_type_id=='471767045' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
325 node_type_id=='485574832' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
326 node_type_id=='485835055' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
327 node_type_id=='485880739' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
328 node_type_id=='486052980' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
329 node_type_id=='486110216' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
330 node_type_id=='487664663' pop_name=='i6Sst' exp2syn 1.5 GABA_InhToExc.json
331 node_type_id=='471129934' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
332 node_type_id=='471143169' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
333 node_type_id=='471758398' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
334 node_type_id=='471767045' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
335 node_type_id=='485574832' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
336 node_type_id=='485835055' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
337 node_type_id=='485880739' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
338 node_type_id=='486052980' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
339 node_type_id=='486110216' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
340 node_type_id=='487664663' pop_name=='i5Sst' exp2syn 1.5 GABA_InhToExc.json
341 node_type_id=='471129934' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
342 node_type_id=='471143169' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
343 node_type_id=='471758398' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
344 node_type_id=='471767045' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
345 node_type_id=='485574832' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
346 node_type_id=='485835055' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
347 node_type_id=='485880739' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
348 node_type_id=='486052980' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
349 node_type_id=='486110216' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
350 node_type_id=='487664663' pop_name=='LIFe5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
351 node_type_id=='471129934' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
352 node_type_id=='471143169' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
353 node_type_id=='471758398' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
354 node_type_id=='471767045' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
355 node_type_id=='485574832' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
356 node_type_id=='485835055' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
357 node_type_id=='485880739' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
358 node_type_id=='486052980' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
