edge_type_id target_query source_query model_template dynamics_params delay
245 node_type_id=='486052980' pop_name=='i4Sst' exp2syn GABA_InhToExc.json 1.5
246 node_type_id=='486110216' pop_name=='i4Sst' exp2syn GABA_InhToExc.json 1.5
247 node_type_id=='487664663' pop_name=='i4Sst' exp2syn GABA_InhToExc.json 1.5
248 node_type_id=='471129934' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
249 node_type_id=='471143169' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
250 node_type_id=='471758398' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
251 node_type_id=='471767045' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
252 node_type_id=='485574832' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
253 node_type_id=='485835055' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
254 node_type_id=='485880739' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
255 node_type_id=='486052980' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
256 node_type_id=='486110216' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
257 node_type_id=='487664663' pop_name=='e4Nr5a1' exp2syn AMPA_ExcToExc.json 1.5
258 node_type_id=='471129934' pop_name=='e5noRbp4' exp2syn AMPA_ExcToExc.json 1.5
259 node_type_id=='471143169' pop_name=='e5noRbp4' exp2syn AMPA_ExcToExc.json 1.5
260 node_type_id=='471758398' pop_name=='e5noRbp4' exp2syn AMPA_ExcToExc.json 1.5
261 node_type_id=='471767045' pop_name=='e5noRbp4' exp2syn AMPA_ExcToExc.json 1.5
262 node_type_id=='485574832' pop_name=='e5noRbp4' exp2syn AMPA_ExcToExc.json 1.5
263 node_type_id=='485835055' pop_name=='e5noRbp4' exp2syn AMPA_ExcToExc.json 1.5
264 node_type_id=='485880739' pop_name=='e5noRbp4' exp2syn AMPA_ExcToExc.json 1.5
265 node_type_id=='486052980' pop_name=='e5noRbp4' exp2syn AMPA_ExcToExc.json 1.5
266 node_type_id=='486110216' pop_name=='e5noRbp4' exp2syn AMPA_ExcToExc.json 1.5
