node_type_id population model_template ei location dynamics_params pop_name morphology model_type model_processing
483061182 v1 ctdb:Biophys1.hoc e VisL4 483061182_fit.json e4other Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc biophysical aibs_axon
485909730 v1 ctdb:Biophys1.hoc e VisL4 485909730_fit.json e4other Cux2-CreERT2_Ai14-205530.03.02.01_500961528_m.swc biophysical aibs_axon
486146717 v1 ctdb:Biophys1.hoc e VisL4 486146717_fit.json e4other Cux2-CreERT2_Ai14-205221.03.01.01_500961566_m.swc biophysical aibs_axon
487601493 v1 ctdb:Biophys1.hoc e VisL4 487601493_fit.json e4other Cux2-CreERT2_Ai14-211771.03.01.01_496123846_m.swc biophysical aibs_axon
474626527 v1 ctdb:Biophys1.hoc i VisL4 474626527_fit.json i4Htr3a Htr3a-Cre_NO152_Ai14-182004.05.02.01_491120373_m.swc biophysical aibs_axon
333604946 v1 ctdb:Biophys1.hoc i VisL4 333604946_fit.json i4Pvalb Pvalb-IRES-Cre_Ai14-176848.03.01.01_491119484_m.swc biophysical aibs_axon
487667205 v1 ctdb:Biophys1.hoc i VisL4 487667205_fit.json i4Pvalb Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc biophysical aibs_axon
313862167 v1 ctdb:Biophys1.hoc i VisL4 313862167_fit.json i4Sst Sst-IRES-Cre_Ai14-167638.05.02.01_501934125_m.swc biophysical aibs_axon
473016550 v1 ctdb:Biophys1.hoc i VisL4 473016550_fit.json i4Sst Sst-IRES-Cre_Ai14-181378.05.01.01_491120060_m.swc biophysical aibs_axon
471129934 v1 ctdb:Biophys1.hoc e VisL5 471129934_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc biophysical aibs_axon
471143169 v1 ctdb:Biophys1.hoc e VisL5 471143169_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-180747.06.02.01_492413283_m.swc biophysical aibs_axon
471758398 v1 ctdb:Biophys1.hoc e VisL5 471758398_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-180748.06.01.01_495335436_m.swc biophysical aibs_axon
471767045 v1 ctdb:Biophys1.hoc e VisL5 471767045_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-180748.02.02.01_491771193_m.swc biophysical aibs_axon
485574832 v1 ctdb:Biophys1.hoc e VisL5 485574832_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-203498.04.02.01_496001061_m.swc biophysical aibs_axon
485835055 v1 ctdb:Biophys1.hoc e VisL5 485835055_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-204744.04.01.01_496123897_m.swc biophysical aibs_axon
485880739 v1 ctdb:Biophys1.hoc e VisL5 485880739_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-204745.05.01.01_496001050_m.swc biophysical aibs_axon
486052980 v1 ctdb:Biophys1.hoc e VisL5 486052980_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-205726.03.02.01_496001094_m.swc biophysical aibs_axon
486110216 v1 ctdb:Biophys1.hoc e VisL5 486110216_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-205727.04.02.01_496085260_m.swc biophysical aibs_axon
487664663 v1 ctdb:Biophys1.hoc e VisL5 487664663_fit.json e5Rbp4 Rbp4-Cre_KL100_Ai14-211531.03.01.01_496085294_m.swc biophysical aibs_axon
314804042 v1 ctdb:Biophys1.hoc e VisL5 314804042_fit.json e5noRbp4 Rorb-IRES2-Cre-D_Ai14-168053.05.01.01_491392788_m.swc biophysical aibs_axon
314831019 v1 ctdb:Biophys1.hoc e VisL5 314831019_fit.json e5noRbp4 Scnn1a-Tg3-Cre_Ai14-168093.03.02.01_491119592_m.swc biophysical aibs_axon
320207387 v1 ctdb:Biophys1.hoc e VisL5 320207387_fit.json e5noRbp4 Scnn1a-Tg3-Cre_Ai14-170426.03.01.01_491392845_m.swc biophysical aibs_axon
323865917 v1 ctdb:Biophys1.hoc e VisL5 323865917_fit.json e5noRbp4 Scnn1a-Tg3-Cre_Ai14-172530.06.01.01_492413272_m.swc biophysical aibs_axon
324025297 v1 ctdb:Biophys1.hoc e VisL5 324025297_fit.json e5noRbp4 Rorb-IRES2-Cre-D_Ai14-172651.04.01.01_491458287_m.swc biophysical aibs_axon
349621141 v1 ctdb:Biophys1.hoc e VisL5 349621141_fit.json e5noRbp4 Scnn1a-Tg2-Cre_Ai14-176961.06.02.01_491253847_m.swc biophysical aibs_axon
354190013 v1 ctdb:Biophys1.hoc e VisL5 354190013_fit.json e5noRbp4 Scnn1a-Tg2-Cre_Ai14-176962.05.01.01_495335447_m.swc biophysical aibs_axon
468120757 v1 ctdb:Biophys1.hoc e VisL5 468120757_fit.json e5noRbp4 Scnn1a-Tg3-Cre_Ai14-177297.05.02.01_495335458_m.swc biophysical aibs_axon
468193142 v1 ctdb:Biophys1.hoc e VisL5 468193142_fit.json e5noRbp4 Scnn1a-Tg3-Cre_Ai14-177297.06.01.01_491120155_m.swc biophysical aibs_axon
469793303 v1 ctdb:Biophys1.hoc e VisL5 469793303_fit.json e5noRbp4 Scnn1a-Tg3-Cre_Ai14-180214.05.02.01_492413246_m.swc biophysical aibs_axon
473601979 v1 ctdb:Biophys1.hoc e VisL5 473601979_fit.json e5noRbp4 Rorb-IRES2-Cre-D_Ai14-181715.04.01.01_491392833_m.swc biophysical aibs_axon
476048909 v1 ctdb:Biophys1.hoc e VisL5 476048909_fit.json e5noRbp4 Rorb-IRES2-Cre-D_Ai14-187416.05.01.01_491796267_m.swc biophysical aibs_axon
476131588 v1 ctdb:Biophys1.hoc e VisL5 476131588_fit.json e5noRbp4 Scnn1a-Tg3-Cre_Ai14-187849.06.02.01_491392799_m.swc biophysical aibs_axon
480116737 v1 ctdb:Biophys1.hoc e VisL5 480116737_fit.json e5noRbp4 Rorb-IRES2-Cre-D_Ai14-197332.04.02.01_492100936_m.swc biophysical aibs_axon
480169178 v1 ctdb:Biophys1.hoc e VisL5 480169178_fit.json e5noRbp4 Rorb-IRES2-Cre-D_Ai14-197353.06.02.01_496079587_m.swc biophysical aibs_axon
480351780 v1 ctdb:Biophys1.hoc e VisL5 480351780_fit.json e5noRbp4 Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc biophysical aibs_axon
480353286 v1 ctdb:Biophys1.hoc e VisL5 480353286_fit.json e5noRbp4 Rorb-IRES2-Cre-D_Ai14-197851.05.02.01_492413372_m.swc biophysical aibs_axon
478110866 v1 ctdb:Biophys1.hoc i VisL5 478110866_fit.json i5Htr3a Htr3a-Cre_NO152_Ai14-192821.05.01.01_491771409_m.swc biophysical aibs_axon
481001895 v1 ctdb:Biophys1.hoc i VisL5 481001895_fit.json i5Htr3a Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc biophysical aibs_axon
481136138 v1 ctdb:Biophys1.hoc i VisL5 481136138_fit.json i5Htr3a Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc biophysical aibs_axon
482644550 v1 ctdb:Biophys1.hoc i VisL5 482644550_fit.json i5Htr3a Htr3a-Cre_NO152_Ai14-200442.05.02.01_495337161_m.swc biophysical aibs_axon
313861608 v1 ctdb:Biophys1.hoc i VisL5 313861608_fit.json i5Pvalb Pvalb-IRES-Cre_Ai14-165874.04.02.01_491119570_m.swc biophysical aibs_axon
321023397 v1 ctdb:Biophys1.hoc i VisL5 321023397_fit.json i5Pvalb Pvalb-IRES-Cre_Ai14-171555.06.01.01_496722847_m.swc biophysical aibs_axon
333785962 v1 ctdb:Biophys1.hoc i VisL5 333785962_fit.json i5Pvalb Pvalb-IRES-Cre_Ai14-176852.05.02.01_513557613_m.swc biophysical aibs_axon
396608557 v1 ctdb:Biophys1.hoc i VisL5 396608557_fit.json i5Pvalb Pvalb-IRES-Cre_Ai14-177452.03.02.01_491119336_m.swc biophysical aibs_axon
469610831 v1 ctdb:Biophys1.hoc i VisL5 469610831_fit.json i5Pvalb Pvalb-IRES-Cre_Ai14-177452.03.01.01_491120251_m.swc biophysical aibs_axon
