node_type_id,coords_segx0,coords_segx0.5,coords_segx1
475622680,[197.61949785 110.19870819 153.69441731],[195.19159721 107.65997029 151.69643584],[192.76369657 105.12123238 149.69845438]
486502127,[ 98.27616989 334.80358011 225.36623099],[101.26911598 332.76082347 227.24534497],[104.26206207 330.71806682 229.12445894]
329550137,[-198.59556169  365.27219865  -63.66684341],[-198.59556169  365.27219865  -63.66684341],[-198.59556169  365.27219865  -63.66684341]
476616076,[-222.98900254  355.40946971  170.3546167 ],[-221.40850942  358.34563595  172.41083191],[-219.8280163   361.2818022   174.46704713]
473943881,[110.25570922 102.0610143  213.58571161],[110.32157391 101.19458654 217.90572481],[110.3874386  100.32815879 222.225738  ]
324025371,[ 343.92644664  332.39570465 -183.50124473],[ 346.33644435  335.31740713 -180.60755543],[ 348.74644207  338.23910961 -177.71386612]
314642645,[162.80731947 309.50759321 -26.04716694],[161.53827627 312.78137638 -24.0266435 ],[160.26923306 316.05515955 -22.00612006]
473020156,[-335.42165078  371.46011705   -0.7838213 ],[-338.48348484  373.11471235   -0.7569061 ],[-341.54531891  374.76930765   -0.7299909 ]
480087928,[ 61.11026281 314.79984276 -22.66388863],[ 61.11026281 314.79984276 -22.66388863],[ 61.11026281 314.79984276 -22.66388863]
485836906,[181.86344794 432.45732934 -67.6548581 ],[184.21994332 429.87187226 -69.0027853 ],[186.5764387  427.28641518 -70.3507125 ]
484679812,[252.72939582 374.05107725 204.94830669],[251.17307141 372.87842014 207.91694272],[249.61674699 371.70576303 210.88557876]
477135941,[-181.82525999  327.59210643  -23.13892107],[-185.38320669  326.1902467   -23.60952441],[-188.94115339  324.78838697  -24.08012776]
481001895,[127.46486841 530.40512141 107.44965951],[126.98335987 532.35578013 104.5226276 ],[126.50185133 534.30643884 101.59559569]
482644550,[-342.17013549  628.45708476 -104.67173647],[-339.00482837  631.49030239 -104.29150559],[-335.83952124  634.52352001 -103.91127472]
471085676,[ -97.07924703  549.09486367 -322.8538827 ],[ -94.09553063  550.24139894 -319.6450664 ],[ -91.11181423  551.38793421 -316.43625011]
321023397,[-104.91200227  636.6908869   275.34596491],[-102.95449865  633.48392755  275.71236227],[-100.99699503  630.2769682   276.07875963]
313861608,[-295.36427541  561.50885664   77.71159242],[-299.63264688  561.85013135   77.8289134 ],[-303.90101836  562.19140607   77.94623438]
333785962,[-283.2647304   572.19340897  215.33559322],[-283.56330985  569.71939251  217.69541605],[-283.86188931  567.24537604  220.05523888]
396608557,[ 64.81278622 458.64832714  17.20235925],[ 64.02875395 457.02650542  21.34242703],[ 63.24472168 455.4046837   25.48249482]
478793814,[101.5804841  624.7734355  -14.22942081],[101.84068731 627.48922836 -11.26431833],[102.10089053 630.20502123  -8.29921584]
469610831,[  97.07058387  599.3112285  -187.78040547],[ 101.81202618  601.83409818 -187.91944621],[ 106.55346849  604.35696786 -188.05848695]
471077857,[231.75244677 633.97086395 271.22899354],[227.53836607 632.69299457 269.6522989 ],[223.32428536 631.4151252  268.07560427]
333604946,[-287.39537622  357.54370895  168.46346888],[-289.35717143  360.98167232  166.03402252],[-291.31896665  364.41963568  163.60457617]
474626527,[ -43.21343863  327.10968322 -379.62158119],[ -40.52204342  329.46963025 -377.81421639],[ -37.83064822  331.82957728 -376.00685159]
324493977,[ 81.40506006 107.48132601 175.57119956],[ 85.15596857 109.42107932 175.44314379],[ 88.90687708 111.36083262 175.31508802]
473016550,[-88.31726751 359.52451909 299.18834464],[-84.92211913 361.74134228 296.96127763],[-81.52697075 363.95816547 294.73421062]
313862167,[274.49070102 428.1790966   64.33269597],[273.68057243 424.28521792  62.30790165],[272.87044384 420.39133925  60.28310732]
318733871,[179.73027098 427.39721052 350.14695418],[181.59651504 424.84151204 348.82702051],[183.46275909 422.28581356 347.50708683]
475459689,[-10.57818121 335.96114463 323.22874375],[ -8.56660116 334.01483167 320.16116631],[ -6.55502111 332.06851871 317.09358886]
476457450,[-116.24990452  383.15428054 -350.67157681],[-119.61085139  385.03884845 -351.04459906],[-122.97179827  386.92341637 -351.4176213 ]
370351753,[-115.29500504  375.09047853   -6.3268307 ],[-118.79518757  373.3642268    -6.49943318],[-122.29537009  371.63797507   -6.67203566]
386049446,[-183.13008112  406.65406558  141.98404779],[-183.13008112  406.65406558  141.98404779],[-183.13008112  406.65406558  141.98404779]
397351623,[-124.04575399  376.45374284  290.15267101],[-122.93358645  374.84854904  293.82574523],[-121.82141891  373.24335524  297.49881945]
422738880,[169.58285653 362.83014408 146.58611997],[171.62397146 364.83749561 143.41669163],[173.6650864  366.84484713 140.2472633 ]
476455864,[  61.23002307  384.91217021 -350.74481254],[  62.44639457  383.23937839 -347.61532185],[  63.66276607  381.56658656 -344.48583116]
323475862,[ 79.01765982 464.82001673 192.32509884],[ 82.2774344  462.65650193 191.69680456],[ 85.53720899 460.49298712 191.06851028]
478396248,[245.74908217 450.79194251 177.65221944],[248.32114905 453.51041464 176.84758131],[250.89321594 456.22888677 176.04294319]
464198958,[217.57568348 450.32887725 -88.71169454],[218.5959779  454.10421295 -87.73318938],[219.61627232 457.87954865 -86.75468421]
482690728,[-212.38289297  531.14190892  -27.85504419],[-216.0367789   530.26039122  -26.94944873],[-219.69066483  529.37887351  -26.04385328]
475517090,[-245.07942648  485.47768333  219.72719846],[-243.50498872  483.78800695  217.19449322],[-241.93055095  482.09833058  214.66178797]
324025297,[ 24.68837247 603.77796617 371.77908367],[ 24.94291978 607.78531299 371.67142669],[ 25.19746708 611.7926598  371.56376972]
476131588,[-133.32613491  472.35476966   71.82435493],[-133.32613491  472.35476966   71.82435493],[-133.32613491  472.35476966   71.82435493]
468120757,[-197.02480695  567.57381796  340.86846599],[-192.68697208  570.03374908  337.63920507],[-188.34913721  572.49368019  334.40994416]
320207387,[ 126.74630815  512.0270328  -256.84468063],[ 130.14688768  514.99497776 -259.02924607],[ 133.5474672   517.96292271 -261.21381152]
480169178,[-133.86326214  533.03318274 -316.68046829],[-131.8633936   535.53262749 -314.48698451],[-129.86352505  538.03207223 -312.29350073]
323865917,[234.35948437 642.40061829 277.96695241],[233.5111425  642.48167935 273.48857987],[232.66280063 642.56274042 269.01020733]
354190013,[210.88051538 593.43566324  -9.67894954],[213.56741787 597.4008071  -10.48760417],[216.25432037 601.36595097 -11.2962588 ]
480116737,[ 12.27149566 437.41361039 -40.96106279],[ 15.27381406 440.80331399 -42.28274867],[ 18.27613245 444.1930176  -43.60443456]
473601979,[ 64.54023725 523.9998474  256.11014444],[ 61.01055627 522.75585199 257.37383198],[ 57.48087528 521.51185659 258.63751951]
480353286,[110.28954585 579.64191159  48.48710336],[112.04209279 580.19542041  44.71761672],[113.79463972 580.74892924  40.94813007]
349621141,[ 34.54018375 459.4861708  308.35579019],[ 36.14490788 460.24712856 305.03053575],[ 37.74963201 461.00808631 301.70528132]
314804042,[ 187.68602715  586.94990174 -184.695187  ],[ 189.54791602  590.48875567 -183.55648399],[ 191.4098049   594.02760961 -182.41778098]
314831019,[119.28750119 480.51143858 309.36199304],[122.08351362 482.9392206  313.14378946],[124.87952606 485.36700263 316.92558587]
468193142,[154.68551692 434.14702417 -77.51686218],[153.43305797 433.92110049 -74.34931587],[152.18059902 433.6951768  -71.18176957]
466632464,[ -3.2019826  749.54392939  -5.21885816],[ -7.21784427 750.36271874  -5.17530225],[-11.23370593 751.18150808  -5.13174635]
471789504,[-358.78362269  810.53042325 -160.18885023],[-355.4859756   809.33804778 -162.14776391],[-352.18832851  808.1456723  -164.10667759]
471129934,[ 231.56647663  542.18965943 -189.15783908],[ 233.81574872  538.43063162 -184.32046005],[ 236.06502081  534.6716038  -179.48308102]
471758398,[ 107.9039693   581.0025504  -374.67615282],[ 112.35178586  580.61733977 -374.348397  ],[ 116.79960242  580.23212915 -374.02064118]
471767045,[-394.68726067  473.07497111   34.09682101],[-391.63183472  476.49653525   35.99175785],[-388.57640877  479.91809939   37.88669469]
485835055,[-43.90197355 445.93389614  95.50833827],[-46.72634293 443.39460416  97.88720676],[-49.55071232 440.85531218 100.26607525]
