edge_type_id target_query source_query model_template dynamics_params delay
216 node_type_id=='473540161' * exp2syn AMPA_ExcToInh.json 1.7
217 node_type_id=='475068599' * exp2syn AMPA_ExcToInh.json 1.7
218 node_type_id=='476686112' * exp2syn AMPA_ExcToInh.json 1.7
219 node_type_id=='478110866' * exp2syn AMPA_ExcToInh.json 1.7
220 node_type_id=='481001895' * exp2syn AMPA_ExcToInh.json 1.7
221 node_type_id=='481136138' * exp2syn AMPA_ExcToInh.json 1.7
222 node_type_id=='482644550' * exp2syn AMPA_ExcToInh.json 1.7
223 node_type_id=='313862306' * exp2syn AMPA_ExcToInh.json 1.7
224 node_type_id=='323452196' * exp2syn AMPA_ExcToInh.json 1.7
225 node_type_id=='473564515' * exp2syn AMPA_ExcToInh.json 1.7
226 node_type_id=='476104386' * exp2syn AMPA_ExcToInh.json 1.7
227 node_type_id=='476754635' * exp2syn AMPA_ExcToInh.json 1.7
228 node_type_id=='323475862' * exp2syn AMPA_ExcToInh.json 1.7
229 node_type_id=='324266189' * exp2syn AMPA_ExcToInh.json 1.7
230 node_type_id=='324466858' * exp2syn AMPA_ExcToInh.json 1.7
231 node_type_id=='464198958' * exp2syn AMPA_ExcToInh.json 1.7
232 node_type_id=='464212183' * exp2syn AMPA_ExcToInh.json 1.7
233 node_type_id=='466664172' * exp2syn AMPA_ExcToInh.json 1.7
234 node_type_id=='473543792' * exp2syn AMPA_ExcToInh.json 1.7
235 node_type_id=='475057898' * exp2syn AMPA_ExcToInh.json 1.7
236 node_type_id=='475517090' * exp2syn AMPA_ExcToInh.json 1.7
237 node_type_id=='478396248' * exp2syn AMPA_ExcToInh.json 1.7
238 node_type_id=='482690728' * exp2syn AMPA_ExcToInh.json 1.7
239 node_type_id=='475585413' * exp2syn AMPA_ExcToInh.json 1.7
240 node_type_id=='478107198' * exp2syn AMPA_ExcToInh.json 1.7
241 node_type_id=='100000101' * exp2syn instanteneousExc.json 1.7
242 node_type_id=='100000102' * exp2syn instanteneousExc.json 1.7
243 node_type_id=='100000103' * exp2syn instanteneousExc.json 1.7
244 node_type_id=='100000104' * exp2syn instanteneousExc.json 1.7
245 node_type_id=='100000105' * exp2syn instanteneousExc.json 1.7
246 node_type_id=='100000110' * exp2syn instanteneousExc.json 1.7
247 node_type_id=='100000111' * exp2syn instanteneousExc.json 1.7
248 node_type_id=='100000112' * exp2syn instanteneousExc.json 1.7
249 node_type_id=='100000108' * exp2syn instanteneousExc.json 1.7
250 node_type_id=='100000114' * exp2syn instanteneousExc.json 1.7
251 node_type_id=='100000115' * exp2syn instanteneousExc.json 1.7
252 node_type_id=='100000116' * exp2syn instanteneousExc.json 1.7
253 node_type_id=='100000119' * exp2syn instanteneousExc.json 1.7
254 node_type_id=='100000121' * exp2syn instanteneousExc.json 1.7
255 node_type_id=='100000106' * exp2syn instanteneousExc.json 1.7
256 node_type_id=='100000107' * exp2syn instanteneousExc.json 1.7
257 node_type_id=='100000113' * exp2syn instanteneousExc.json 1.7
258 node_type_id=='100000109' * exp2syn instanteneousExc.json 1.7
259 node_type_id=='100000120' * exp2syn instanteneousExc.json 1.7
260 node_type_id=='100000118' * exp2syn instanteneousExc.json 1.7
261 node_type_id=='100000117' * exp2syn instanteneousExc.json 1.7
